broker,トレーダー名,口座タイプ,口座通貨,キャンペーン,発注時間,決済時間,取引カテゴリ,取引タイプ,金融商品,銘柄グループ,ロット数,合計報酬,アフィリエイト報酬
XM,U001,Standard,USD,,2026-02-02T12:24:00,2026-02-02T15:25:00,FX,BUY,EURUSD,FX Majors,8.47,71.71,22.71
XM,U001,Standard,USD,,2026-02-02T15:25:00,2026-02-02T12:19:00,FX,BUY,EURJPY,FX Majors,7.80,63.41,20.70
XM,U001,Standard,USD,,2026-02-02T11:59:00,2026-02-02T17:57:00,FX,BUY,XAUUSD,FX Majors,0.15,4.59,2.12
XM,U002,Standard,USD,,2026-02-02T10:05:00,2026-02-02T10:15:00,FX,BUY,AUDUSD,FX Majors,3.10,26.67,9.35
XM,U002,Standard,USD,,2026-02-02T13:53:00,2026-02-02T11:05:00,FX,BUY,AUDUSD,FX Majors,6.20,54.23,16.95
XM,U003,Standard,USD,,2026-02-02T15:17:00,2026-02-02T13:28:00,FX,BUY,AUDUSD,FX Majors,1.06,8.59,4.50
XM,U003,Standard,USD,,2026-02-02T12:36:00,2026-02-02T12:05:00,FX,BUY,GBPUSD,FX Majors,6.46,51.96,16.77
XM,U003,Standard,USD,,2026-02-02T12:44:00,2026-02-02T11:11:00,FX,BUY,GBPUSD,FX Majors,9.97,80.90,24.45
XM,U004,Standard,USD,,2026-02-02T16:45:00,2026-02-02T13:09:00,FX,BUY,AUDUSD,FX Majors,3.71,30.98,9.74
XM,U005,Standard,USD,,2026-02-02T16:57:00,2026-02-02T17:40:00,FX,BUY,GBPUSD,FX Majors,9.10,73.08,23.33
XM,U005,Standard,USD,,2026-02-02T14:31:00,2026-02-02T17:15:00,FX,BUY,EURJPY,FX Majors,2.02,21.04,7.97
XM,U005,Standard,USD,,2026-02-02T13:13:00,2026-02-02T12:06:00,FX,BUY,AUDUSD,FX Majors,4.59,39.62,12.16
XM,U001,Standard,USD,,2026-02-03T13:27:00,2026-02-03T15:31:00,FX,BUY,AUDUSD,FX Majors,0.22,2.13,1.00
XM,U002,Standard,USD,,2026-02-03T09:46:00,2026-02-03T10:39:00,FX,BUY,AUDUSD,FX Majors,3.90,32.74,11.38
XM,U002,Standard,USD,,2026-02-03T13:40:00,2026-02-03T12:36:00,FX,BUY,EURJPY,FX Majors,2.16,18.02,6.19
XM,U002,Standard,USD,,2026-02-03T13:32:00,2026-02-03T10:05:00,FX,BUY,EURUSD,FX Majors,2.17,19.81,6.78
XM,U003,Standard,USD,,2026-02-03T15:11:00,2026-02-03T10:12:00,FX,BUY,EURJPY,FX Majors,1.64,16.29,6.48
XM,U003,Standard,USD,,2026-02-03T12:03:00,2026-02-03T11:44:00,FX,BUY,GBPUSD,FX Majors,0.23,6.60,2.78
XM,U004,Standard,USD,,2026-02-03T12:13:00,2026-02-03T17:55:00,FX,BUY,AUDUSD,FX Majors,1.14,13.68,4.61
XM,U005,Standard,USD,,2026-02-03T14:28:00,2026-02-03T16:34:00,FX,BUY,AUDUSD,FX Majors,1.10,13.17,5.23
XM,U005,Standard,USD,,2026-02-03T09:47:00,2026-02-03T13:09:00,FX,BUY,EURJPY,FX Majors,3.87,33.38,10.87
XM,U001,Standard,USD,,2026-02-04T16:03:00,2026-02-04T17:07:00,FX,BUY,USDJPY,FX Majors,7.55,63.24,20.94
XM,U002,Standard,USD,,2026-02-04T09:53:00,2026-02-04T11:13:00,FX,BUY,EURJPY,FX Majors,3.84,33.41,12.00
XM,U003,Standard,USD,,2026-02-04T10:14:00,2026-02-04T15:42:00,FX,BUY,EURUSD,FX Majors,2.86,24.53,8.91
XM,U004,Standard,USD,,2026-02-04T11:06:00,2026-02-04T11:53:00,FX,BUY,USDJPY,FX Majors,3.05,25.78,8.82
XM,U004,Standard,USD,,2026-02-04T15:49:00,2026-02-04T15:46:00,FX,BUY,AUDUSD,FX Majors,9.61,80.27,24.96
XM,U004,Standard,USD,,2026-02-04T11:25:00,2026-02-04T12:08:00,FX,BUY,AUDUSD,FX Majors,2.28,20.35,7.67
XM,U005,Standard,USD,,2026-02-04T14:29:00,2026-02-04T11:21:00,FX,BUY,USDJPY,FX Majors,9.91,80.89,24.99
XM,U005,Standard,USD,,2026-02-04T09:11:00,2026-02-04T17:33:00,FX,BUY,EURUSD,FX Majors,2.36,20.51,6.39
XM,U005,Standard,USD,,2026-02-04T10:09:00,2026-02-04T13:47:00,FX,BUY,EURUSD,FX Majors,2.09,19.81,7.01
XM,U001,Standard,USD,,2026-02-05T11:12:00,2026-02-05T11:13:00,FX,BUY,USDJPY,FX Majors,8.74,73.01,22.66
XM,U001,Standard,USD,,2026-02-05T16:27:00,2026-02-05T12:44:00,FX,BUY,GBPUSD,FX Majors,3.92,31.74,10.31
XM,U002,Standard,USD,,2026-02-05T14:51:00,2026-02-05T17:11:00,FX,BUY,EURJPY,FX Majors,7.10,61.34,18.66
XM,U002,Standard,USD,,2026-02-05T14:45:00,2026-02-05T15:24:00,FX,BUY,AUDUSD,FX Majors,6.42,56.35,18.02
XM,U002,Standard,USD,,2026-02-05T09:35:00,2026-02-05T12:03:00,FX,BUY,XAUUSD,FX Majors,6.21,53.10,16.10
XM,U003,Standard,USD,,2026-02-05T15:23:00,2026-02-05T17:58:00,FX,BUY,EURJPY,FX Majors,2.90,23.59,7.65
XM,U003,Standard,USD,,2026-02-05T14:55:00,2026-02-05T12:10:00,FX,BUY,XAUUSD,FX Majors,6.58,55.54,16.77
XM,U004,Standard,USD,,2026-02-05T14:26:00,2026-02-05T12:24:00,FX,BUY,EURJPY,FX Majors,0.31,2.62,2.60
XM,U004,Standard,USD,,2026-02-05T15:01:00,2026-02-05T16:41:00,FX,BUY,EURJPY,FX Majors,5.44,43.71,14.31
XM,U005,Standard,USD,,2026-02-05T14:46:00,2026-02-05T13:29:00,FX,BUY,EURJPY,FX Majors,4.86,41.75,14.46
XM,U005,Standard,USD,,2026-02-05T16:06:00,2026-02-05T10:49:00,FX,BUY,GBPUSD,FX Majors,7.81,64.75,19.49
XM,U001,Standard,USD,,2026-02-06T15:56:00,2026-02-06T10:06:00,FX,BUY,EURJPY,FX Majors,2.58,25.01,9.33
XM,U001,Standard,USD,,2026-02-06T11:59:00,2026-02-06T15:20:00,FX,BUY,XAUUSD,FX Majors,7.61,63.58,20.32
XM,U002,Standard,USD,,2026-02-06T13:40:00,2026-02-06T15:30:00,FX,BUY,EURJPY,FX Majors,3.82,33.36,11.32
XM,U002,Standard,USD,,2026-02-06T16:08:00,2026-02-06T15:01:00,FX,BUY,EURJPY,FX Majors,5.15,45.64,14.85
XM,U003,Standard,USD,,2026-02-06T14:44:00,2026-02-06T14:15:00,FX,BUY,AUDUSD,FX Majors,7.34,61.34,19.30
XM,U003,Standard,USD,,2026-02-06T10:16:00,2026-02-06T10:06:00,FX,BUY,EURUSD,FX Majors,5.66,46.53,14.75
XM,U004,Standard,USD,,2026-02-06T13:02:00,2026-02-06T17:20:00,FX,BUY,AUDUSD,FX Majors,0.90,10.23,4.43
XM,U004,Standard,USD,,2026-02-06T09:35:00,2026-02-06T13:59:00,FX,BUY,GBPUSD,FX Majors,7.16,57.57,18.34
XM,U004,Standard,USD,,2026-02-06T09:52:00,2026-02-06T11:59:00,FX,BUY,AUDUSD,FX Majors,9.26,76.48,23.31
XM,U005,Standard,USD,,2026-02-06T12:15:00,2026-02-06T12:01:00,FX,BUY,EURUSD,FX Majors,1.49,15.52,5.91
XM,U001,Standard,USD,,2026-02-09T16:53:00,2026-02-09T13:45:00,FX,BUY,EURUSD,FX Majors,7.36,63.73,19.46
XM,U001,Standard,USD,,2026-02-09T10:45:00,2026-02-09T10:28:00,FX,BUY,EURJPY,FX Majors,6.95,58.53,19.33
XM,U002,Standard,USD,,2026-02-09T15:58:00,2026-02-09T12:02:00,FX,BUY,USDJPY,FX Majors,3.49,32.08,11.10
XM,U002,Standard,USD,,2026-02-09T15:31:00,2026-02-09T14:50:00,FX,BUY,EURJPY,FX Majors,2.70,25.53,8.87
XM,U003,Standard,USD,,2026-02-09T10:49:00,2026-02-09T14:51:00,FX,BUY,XAUUSD,FX Majors,6.86,58.82,17.97
XM,U003,Standard,USD,,2026-02-09T11:15:00,2026-02-09T14:32:00,FX,BUY,XAUUSD,FX Majors,7.80,63.43,20.29
XM,U003,Standard,USD,,2026-02-09T13:33:00,2026-02-09T14:12:00,FX,BUY,USDJPY,FX Majors,5.01,40.83,12.73
XM,U004,Standard,USD,,2026-02-09T15:42:00,2026-02-09T16:12:00,FX,BUY,GBPUSD,FX Majors,3.30,29.58,9.65
XM,U004,Standard,USD,,2026-02-09T13:09:00,2026-02-09T12:53:00,FX,BUY,XAUUSD,FX Majors,2.90,24.39,8.97
XM,U005,Standard,USD,,2026-02-09T09:07:00,2026-02-09T11:36:00,FX,BUY,AUDUSD,FX Majors,5.11,45.14,14.32
XM,U005,Standard,USD,,2026-02-09T09:31:00,2026-02-09T11:56:00,FX,BUY,XAUUSD,FX Majors,2.87,24.26,8.46
XM,U001,Standard,USD,,2026-02-10T10:20:00,2026-02-10T13:42:00,FX,BUY,AUDUSD,FX Majors,6.78,57.35,18.31
XM,U001,Standard,USD,,2026-02-10T11:20:00,2026-02-10T12:54:00,FX,BUY,EURJPY,FX Majors,5.72,46.23,14.60
XM,U002,Standard,USD,,2026-02-10T13:23:00,2026-02-10T10:10:00,FX,BUY,EURUSD,FX Majors,3.08,27.58,9.39
XM,U002,Standard,USD,,2026-02-10T14:34:00,2026-02-10T13:56:00,FX,BUY,GBPUSD,FX Majors,5.40,48.11,15.55
XM,U003,Standard,USD,,2026-02-10T15:18:00,2026-02-10T13:09:00,FX,BUY,USDJPY,FX Majors,7.37,59.73,18.23
XM,U003,Standard,USD,,2026-02-10T13:20:00,2026-02-10T12:16:00,FX,BUY,GBPUSD,FX Majors,2.06,20.48,7.05
XM,U003,Standard,USD,,2026-02-10T14:15:00,2026-02-10T12:12:00,FX,BUY,AUDUSD,FX Majors,5.73,47.44,14.81
XM,U004,Standard,USD,,2026-02-10T13:41:00,2026-02-10T11:46:00,FX,BUY,USDJPY,FX Majors,3.15,29.10,9.57
XM,U004,Standard,USD,,2026-02-10T09:02:00,2026-02-10T12:26:00,FX,BUY,GBPUSD,FX Majors,5.35,46.13,14.83
XM,U005,Standard,USD,,2026-02-10T09:46:00,2026-02-10T13:44:00,FX,BUY,USDJPY,FX Majors,3.69,30.06,9.23
XM,U005,Standard,USD,,2026-02-10T15:22:00,2026-02-10T10:08:00,FX,BUY,USDJPY,FX Majors,2.55,24.35,8.87
XM,U005,Standard,USD,,2026-02-10T09:57:00,2026-02-10T11:14:00,FX,BUY,EURJPY,FX Majors,3.69,32.59,11.09
XM,U001,Standard,USD,,2026-02-11T15:11:00,2026-02-11T16:41:00,FX,BUY,EURUSD,FX Majors,0.15,3.37,2.38
XM,U001,Standard,USD,,2026-02-11T15:46:00,2026-02-11T14:03:00,FX,BUY,XAUUSD,FX Majors,3.95,35.79,12.64
XM,U001,Standard,USD,,2026-02-11T12:38:00,2026-02-11T15:47:00,FX,BUY,EURUSD,FX Majors,9.89,83.33,26.83
XM,U002,Standard,USD,,2026-02-11T09:13:00,2026-02-11T11:19:00,FX,BUY,AUDUSD,FX Majors,3.98,36.22,12.81
XM,U002,Standard,USD,,2026-02-11T15:54:00,2026-02-11T12:54:00,FX,BUY,XAUUSD,FX Majors,6.94,56.60,18.53
XM,U003,Standard,USD,,2026-02-11T10:25:00,2026-02-11T14:22:00,FX,BUY,EURUSD,FX Majors,5.71,50.42,17.09
XM,U004,Standard,USD,,2026-02-11T09:16:00,2026-02-11T12:51:00,FX,BUY,AUDUSD,FX Majors,5.46,44.93,14.27
XM,U005,Standard,USD,,2026-02-11T15:23:00,2026-02-11T11:22:00,FX,BUY,EURUSD,FX Majors,7.03,59.53,18.65
XM,U005,Standard,USD,,2026-02-11T10:38:00,2026-02-11T10:16:00,FX,BUY,EURJPY,FX Majors,8.41,71.49,21.50
XM,U005,Standard,USD,,2026-02-11T12:36:00,2026-02-11T17:31:00,FX,BUY,GBPUSD,FX Majors,8.07,66.72,20.06
XM,U001,Standard,USD,,2026-02-12T12:32:00,2026-02-12T10:24:00,FX,BUY,GBPUSD,FX Majors,3.49,30.43,9.19
XM,U001,Standard,USD,,2026-02-12T14:42:00,2026-02-12T16:07:00,FX,BUY,EURUSD,FX Majors,7.86,65.82,21.48
XM,U002,Standard,USD,,2026-02-12T11:57:00,2026-02-12T17:03:00,FX,BUY,EURJPY,FX Majors,6.65,54.82,18.27
XM,U002,Standard,USD,,2026-02-12T09:56:00,2026-02-12T15:26:00,FX,BUY,GBPUSD,FX Majors,2.94,26.25,8.24
XM,U002,Standard,USD,,2026-02-12T12:40:00,2026-02-12T10:47:00,FX,BUY,GBPUSD,FX Majors,6.13,49.57,16.43
XM,U003,Standard,USD,,2026-02-12T11:04:00,2026-02-12T16:08:00,FX,BUY,EURUSD,FX Majors,9.30,77.47,24.88
XM,U003,Standard,USD,,2026-02-12T09:14:00,2026-02-12T15:38:00,FX,BUY,GBPUSD,FX Majors,5.76,46.11,14.66
XM,U004,Standard,USD,,2026-02-12T11:39:00,2026-02-12T17:12:00,FX,BUY,EURUSD,FX Majors,4.53,38.35,12.59
XM,U004,Standard,USD,,2026-02-12T15:57:00,2026-02-12T12:32:00,FX,BUY,AUDUSD,FX Majors,6.50,53.59,17.36
XM,U004,Standard,USD,,2026-02-12T12:44:00,2026-02-12T12:26:00,FX,BUY,XAUUSD,FX Majors,0.79,7.71,4.23
XM,U005,Standard,USD,,2026-02-12T16:19:00,2026-02-12T11:13:00,FX,BUY,AUDUSD,FX Majors,0.33,3.77,1.89
XM,U005,Standard,USD,,2026-02-12T09:11:00,2026-02-12T15:40:00,FX,BUY,AUDUSD,FX Majors,8.75,71.92,22.45
XM,U005,Standard,USD,,2026-02-12T15:36:00,2026-02-12T11:21:00,FX,BUY,EURUSD,FX Majors,2.86,23.15,7.53
XM,U001,Standard,USD,,2026-02-13T12:40:00,2026-02-13T16:06:00,FX,BUY,USDJPY,FX Majors,8.50,68.73,21.23
XM,U001,Standard,USD,,2026-02-13T12:40:00,2026-02-13T15:59:00,FX,BUY,AUDUSD,FX Majors,2.26,21.34,6.82
XM,U002,Standard,USD,,2026-02-13T11:42:00,2026-02-13T17:53:00,FX,BUY,XAUUSD,FX Majors,5.05,41.94,13.77
XM,U003,Standard,USD,,2026-02-13T16:10:00,2026-02-13T12:39:00,FX,BUY,AUDUSD,FX Majors,5.81,49.68,16.43
XM,U003,Standard,USD,,2026-02-13T14:03:00,2026-02-13T15:25:00,FX,BUY,XAUUSD,FX Majors,3.46,31.14,10.00
XM,U003,Standard,USD,,2026-02-13T14:12:00,2026-02-13T12:53:00,FX,BUY,XAUUSD,FX Majors,3.62,29.52,9.24
XM,U004,Standard,USD,,2026-02-13T09:40:00,2026-02-13T14:01:00,FX,BUY,XAUUSD,FX Majors,4.78,40.16,12.86
XM,U005,Standard,USD,,2026-02-13T09:42:00,2026-02-13T11:25:00,FX,BUY,EURUSD,FX Majors,1.35,14.94,5.39
XM,U005,Standard,USD,,2026-02-13T11:06:00,2026-02-13T15:42:00,FX,BUY,EURJPY,FX Majors,4.29,38.67,12.57
XM,U001,Standard,USD,,2026-02-16T16:13:00,2026-02-16T17:54:00,FX,BUY,EURUSD,FX Majors,0.21,2.29,2.24
XM,U001,Standard,USD,,2026-02-16T15:56:00,2026-02-16T15:10:00,FX,BUY,EURUSD,FX Majors,7.75,62.21,20.00
